Resume,Semantic_Score,Skill_Match_Score,Final_Score,Matched_Skills,Missing_Skills
resume3.txt,0.324,0.75,0.58,"html, react, javascript",git
resume18.txt,0.359,0.5,0.444,"html, javascript","react, git"
resume13.txt,0.235,0.5,0.394,"html, javascript","react, git"
resume11.txt,0.146,0.25,0.208,react,"html, javascript, git"
resume5.txt,0.156,0.0,0.062,,"html, react, javascript, git"
resume19.txt,0.123,0.0,0.049,,"html, react, javascript, git"
resume8.txt,0.11,0.0,0.044,,"html, react, javascript, git"
resume2.txt,0.084,0.0,0.034,,"html, react, javascript, git"
resume9.txt,0.054,0.0,0.022,,"html, react, javascript, git"
resume16.txt,0.038,0.0,0.015,,"html, react, javascript, git"
resume14.txt,0.008,0.0,0.003,,"html, react, javascript, git"
resume1.txt,0.004,0.0,0.002,,"html, react, javascript, git"
resume10.txt,0.004,0.0,0.002,,"html, react, javascript, git"
resume12.txt,0.004,0.0,0.002,,"html, react, javascript, git"
resume15.txt,0.004,0.0,0.002,,"html, react, javascript, git"
resume17.txt,0.004,0.0,0.002,,"html, react, javascript, git"
resume20.txt,0.004,0.0,0.002,,"html, react, javascript, git"
resume4.txt,0.004,0.0,0.002,,"html, react, javascript, git"
resume6.txt,0.004,0.0,0.002,,"html, react, javascript, git"
resume7.txt,0.004,0.0,0.002,,"html, react, javascript, git"
