Resume,Semantic_Score,Skill_Match_Score,Final_Score,Matched_Skills,Missing_Skills
resume11.txt,0.266,0.5,0.406,"mongodb, react, rest","html, javascript, api"
resume3.txt,0.189,0.5,0.376,"html, react, javascript","mongodb, rest, api"
resume5.txt,0.268,0.333,0.307,"mongodb, rest","html, react, javascript, api"
resume13.txt,0.205,0.333,0.282,"html, javascript","mongodb, rest, react, api"
resume16.txt,0.16,0.333,0.264,"mongodb, rest","html, react, javascript, api"
resume18.txt,0.142,0.333,0.257,"html, javascript","mongodb, rest, react, api"
resume8.txt,0.136,0.333,0.255,"mongodb, rest","html, react, javascript, api"
resume2.txt,0.147,0.167,0.159,rest,"html, react, javascript, api, mongodb"
resume19.txt,0.145,0.167,0.158,rest,"html, react, javascript, api, mongodb"
resume9.txt,0.054,0.0,0.022,,"rest, html, react, javascript, api, mongodb"
resume10.txt,0.027,0.0,0.011,,"rest, html, react, javascript, api, mongodb"
resume14.txt,0.008,0.0,0.003,,"rest, html, react, javascript, api, mongodb"
resume1.txt,0.004,0.0,0.002,,"rest, html, react, javascript, api, mongodb"
resume12.txt,0.004,0.0,0.002,,"rest, html, react, javascript, api, mongodb"
resume15.txt,0.004,0.0,0.002,,"rest, html, react, javascript, api, mongodb"
resume17.txt,0.004,0.0,0.002,,"rest, html, react, javascript, api, mongodb"
resume20.txt,0.004,0.0,0.002,,"rest, html, react, javascript, api, mongodb"
resume4.txt,0.004,0.0,0.002,,"rest, html, react, javascript, api, mongodb"
resume6.txt,0.004,0.0,0.002,,"rest, html, react, javascript, api, mongodb"
resume7.txt,0.004,0.0,0.002,,"rest, api, html, mongodb, react, javascript"
